"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U8,U5,U4,U3,U2";"SOIC127P600X175-14N";5;"LMV339MX_NOPB";;;
2;"J5";"Molex_Micro-Fit_3.0_43045-0210_2x01-1MP_P3.00mm_Horizontal";1;"UNIQUE_IN";;;
3;"J2";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"OUT";;;
4;"J6";"Molex_Micro-Fit_3.0_43045-0210_2x01-1MP_P3.00mm_Horizontal";1;"UNIQUE_OUT";;;
5;"J1";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"IN";;;
6;"J4";"Molex_Micro-Fit_3.0_43045-0210_2x01-1MP_P3.00mm_Horizontal";1;"UNIQUE_PWR_CONN";;;
7;"U12";"LTC3637IMSE-PBF";1;"LTC3637IMSE-PBF";;;
8;"U9,U7,U6";"MC74HC14ADTR2G";3;"MC74HC14ADTR2G";;;
9;"TH18,TH17,TH16,TH15,TH14,TH13,TH12,TH11,TH10,TH9,TH8,TH7,TH6,TH5,TH4,TH3,TH2,TH1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";18;"1k";;;
10;"R38,R37,R36,R35,R34,R33,R32,R31,R30,R29,R28,R27,R26,R25,R24,R22,R21,R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";18;"3k";;;
11;"R23";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"255k";;;
12;"R20,R19,R18,R17,R16,R15,R14,R13,R12,R11,R10,R9,R8,R7,R6,R5,R4,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";18;"2k";;;
13;"L1";"L_Sumida_CDRH105RNP-100NC";1;"10 uH";;;
14;"J3";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"PWR_CONN";;;
15;"D1";"SBR3U100LP7";1;"SBR3U100LP-7";;;
16;"Cin1";"C_2220_5650Metric_Pad1.97x5.40mm_HandSolder";1;"4.7 uF";;;
17;"C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"4.7pF";;;
18;"C2,C1";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"100 uF";;;
19;"U1";"SOP-4_3.8x4.1mm_P2.54mm";1;"TLP171A";;;
20;"TP7";"Test_Point_Tiny";1;"Test_fault";;;
21;"TP4";"Test_Point_Tiny";1;"Test_in+";;;
22;"TP3";"Test_Point_Tiny";1;"Test_sig";;;
23;"TP1";"Test_Point_Tiny";1;"Test_gnd";;;
24;"R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1.8k";;;
25;"RV2";"Potentiometer_Bourns_3299P_Horizontal";1;"1.1k";;;
26;"RV1";"Potentiometer_Bourns_3299P_Horizontal";1;"1.9k";;;
